CustomerID,Cluster
C0001,1
C0002,6
C0003,6
C0004,0
C0005,7
C0006,2
C0007,2
C0008,5
C0009,7
C0010,6
C0011,1
C0012,3
C0013,3
C0014,4
C0015,7
C0016,2
C0017,5
C0018,3
C0019,6
C0020,7
C0021,3
C0022,3
C0023,3
C0024,5
C0025,6
C0026,1
C0027,1
C0028,0
C0029,6
C0030,6
C0031,6
C0032,6
C0033,4
C0034,5
C0035,1
C0036,7
C0037,1
C0038,6
C0039,5
C0040,2
C0041,3
C0042,2
C0043,6
C0044,2
C0045,3
C0046,3
C0047,5
C0048,1
C0049,5
C0050,2
C0051,3
C0052,1
C0053,3
C0054,3
C0055,6
C0056,1
C0057,3
C0058,7
C0059,3
C0060,4
C0061,7
C0062,6
C0063,7
C0064,1
C0065,0
C0066,2
C0067,1
C0068,0
C0069,1
C0070,1
C0071,6
C0072,6
C0073,7
C0074,2
C0075,0
C0076,1
C0077,6
C0078,2
C0079,2
C0080,2
C0081,5
C0082,3
C0083,6
C0084,5
C0085,2
C0086,1
C0087,3
C0088,6
C0089,2
C0090,5
C0091,5
C0092,1
C0093,5
C0094,6
C0095,7
C0096,2
C0097,4
C0098,5
C0099,3
C0100,3
C0101,5
C0102,3
C0103,1
C0104,3
C0105,3
C0106,1
C0107,1
C0108,5
C0109,0
C0110,7
C0111,6
C0112,6
C0113,5
C0114,3
C0115,2
C0116,1
C0117,2
C0118,1
C0119,6
C0120,7
C0121,6
C0122,3
C0123,7
C0124,5
C0125,1
C0126,1
C0127,1
C0128,7
C0129,7
C0130,7
C0131,7
C0132,7
C0133,1
C0134,6
C0135,1
C0136,5
C0137,1
C0138,3
C0139,5
C0140,7
C0141,0
C0142,6
C0143,3
C0144,6
C0145,3
C0146,1
C0147,5
C0148,3
C0149,3
C0150,7
C0151,4
C0152,1
C0153,3
C0154,1
C0155,3
C0156,0
C0157,6
C0158,2
C0159,7
C0160,1
C0161,5
C0162,5
C0163,3
C0164,1
C0165,0
C0166,1
C0167,7
C0168,2
C0169,5
C0170,3
C0171,3
C0172,6
C0173,3
C0174,6
C0175,0
C0176,6
C0177,1
C0178,1
C0179,1
C0181,5
C0182,3
C0183,1
C0184,1
C0185,2
C0186,7
C0187,2
C0188,3
C0189,6
C0190,6
C0191,1
C0192,1
C0193,1
C0194,5
C0195,5
C0196,2
C0197,7
C0198,7
C0199,6
C0200,3
